Date,Hashrate,Fees(sat),Nb_trans,Nb_trans_block,Price,Fee_per_block,Block_reward,ELectricity(TWh),Cambridge_MAX(TWh),Cambridge_MIN(TWh),Cambridge_GUESS(TWh),Dig_Guess(TWh),Dig_Min(TWh)
2022-06-21,225808603.12968442,16.311170560000004,254438.0,1696.2533333333333,20582.29,0.0002766787743296854,6.25,135.23163155052794,193.732021825632,50.4234940748786,99.2302010122165,"131,284446408","61,6576755986"
2022-06-24,189622396.21199957,16.16066344,254348.0,1971.6899224806202,21088.3,0.00031863817245248995,6.25,138.55719457768558,177.637723472355,50.9812967890286,94.0711943169969,"132,4695546504","61,9565317852"
2022-06-27,199911983.60334843,14.389842699999999,258883.0,1903.5514705882354,21020.04,0.00027391806233118384,6.25,138.10771536638063,163.854001240848,50.6666914669929,91.5742561472251,"133,6653608969","62,2202174521"
2022-06-30,251359920.5600925,16.563506569999994,271213.0,1586.0409356725147,20085.93,0.0002627039945830064,6.25,131.97010691873308,155.631780470109,52.2526222866214,93.1034642196544,"129,6320161451","62,2890769627"
2022-07-03,227840863.6655809,9.999365670000007,206333.0,1331.1806451612904,19224.75,0.00013310962043794268,6.25,126.3092975199333,148.032321104571,47.9495348332071,91.9051739268276,"129,0529237004","63,5831856602"
2022-07-06,186682514.1001857,24.48460198999999,267118.0,2103.2913385826773,20181.91,0.0005149825129421116,6.25,132.60607416926103,141.56318592,41.3183616726857,86.6441319915864,"129,948323683","64,2754826612"
2022-07-09,194191927.5551512,15.831919260000001,220708.0,1647.0746268656717,21636.45,0.0002607635250773194,6.25,142.15740736721716,140.099183773714,39.0032535339257,85.2300285459331,"131,1213707094","63,1285982943"
2022-07-12,218828216.87184954,17.361912600000007,275378.0,1823.6953642384105,19946.31,0.00031662839522932464,6.25,131.0538956252141,140.813212042286,39.2020371730543,85.6644111602618,"131,2626517453","62,165192061"
2022-07-15,205785475.4688916,26.064093880000005,269269.0,1896.2605633802816,20568.9,0.0004942431334488536,6.25,135.1483595387121,135.614757972909,36.9257333612657,80.9191257211455,"132,050953337","61,0643165937"
2022-07-18,189844347.0874986,22.311000660000005,247895.0,1892.328244274809,20774.23,0.00042219736706951917,6.25,136.4959109914596,143.075479158823,36.6498564776871,80.9659065666681,"133,2429808582","59,2690849233"
